steamId,releaseDate,year,month,firstTimeStamp,firstSales,monthlySalesGrowth
1245620,2022-02-24,2024,1,2024-01-01 22:59:18,10181964,395641
1245620,2022-02-24,2024,2,2024-02-01 23:27:40,10281879,99915
1245620,2022-02-24,2024,3,2024-03-01 23:12:08,10467868,185989
1245620,2022-02-24,2024,4,2024-04-01 22:09:24,10606696,138828
1245620,2022-02-24,2024,5,2024-05-01 21:57:18,10694773,88077
1245620,2022-02-24,2024,6,2024-06-01 22:50:26,11010963,316190
1245620,2022-02-24,2024,7,2024-07-01 21:18:21,12395026,1384063
1245620,2022-02-24,2024,8,2024-08-01 17:27:16,13237213,842187
1245620,2022-02-24,2024,9,2024-09-01 18:11:25,13398155,160942
1245620,2022-02-24,2024,10,2024-10-01 18:00:47,13505328,107173
271590,2015-04-13,2015,4,2015-04-13 20:00:00,717775,717775
271590,2015-04-13,2015,5,2015-05-01 20:00:00,991367,273592
271590,2015-04-13,2015,6,2015-06-01 20:00:00,1202865,211498
271590,2015-04-13,2015,7,2015-07-01 20:00:00,1567246,364381
271590,2015-04-13,2015,8,2015-08-01 20:00:00,1579992,12746
271590,2015-04-13,2015,9,2015-09-01 20:00:00,1593853,13861
271590,2015-04-13,2015,10,2015-10-01 20:00:00,1624040,30187
271590,2015-04-13,2015,11,2015-11-01 20:00:00,1981035,356995
271590,2015-04-13,2015,12,2015-12-01 21:00:00,2216976,235941
271590,2015-04-13,2016,1,2016-01-01 21:00:00,2752754,535778
271590,2015-04-13,2016,2,2016-02-01 21:00:00,2753839,1085
271590,2015-04-13,2016,3,2016-03-01 21:00:00,2791563,37724
271590,2015-04-13,2016,4,2016-04-01 20:00:00,2899095,107532
271590,2015-04-13,2016,5,2016-05-01 20:00:00,2900127,1032
271590,2015-04-13,2016,6,2016-06-01 09:00:00,2900144,17
271590,2015-04-13,2016,7,2016-07-01 20:00:00,3392999,492855
271590,2015-04-13,2016,8,2016-08-01 20:00:00,3425158,32159
271590,2015-04-13,2016,9,2016-09-01 20:00:00,3473425,48267
271590,2015-04-13,2016,10,2016-10-01 20:00:00,3576491,103066
271590,2015-04-13,2016,11,2016-11-01 20:00:00,4351712,775221
271590,2015-04-13,2016,12,2016-12-01 21:00:00,4635295,283583
271590,2015-04-13,2017,1,2017-01-01 21:00:00,5145071,509776
271590,2015-04-13,2017,2,2017-02-01 21:00:00,5145730,659
271590,2015-04-13,2017,3,2017-03-01 21:00:00,5327318,181588
271590,2015-04-13,2017,4,2017-04-01 20:00:00,6622911,1295593
271590,2015-04-13,2017,5,2017-05-01 20:00:00,6625496,2585
271590,2015-04-13,2017,6,2017-06-01 20:00:00,7090761,465265
271590,2015-04-13,2017,7,2017-07-01 20:00:00,7565492,474731
271590,2015-04-13,2017,8,2017-08-01 20:00:00,7567015,1523
271590,2015-04-13,2017,9,2017-09-01 20:00:00,7855700,288685
271590,2015-04-13,2017,10,2017-10-01 20:00:00,7900744,45044
271590,2015-04-13,2017,11,2017-11-01 20:00:00,8523447,622703
271590,2015-04-13,2017,12,2017-12-01 21:00:00,8841243,317796
271590,2015-04-13,2018,1,2018-01-01 21:00:00,9122998,281755
