steamId,last_30_avg,tags,genres,features
90200,7.73,"['Simulation', 'Farming Sim', 'Agriculture', 'Multiplayer', 'Farming', 'Open World', 'Singleplayer']",['Simulation'],"['Single-player', 'Cross-Platform Multiplayer', 'Family Sharing']"
312840,28.0,"['Story Rich', 'Quick-Time Events', 'Atmospheric', 'Adventure', 'Mystery', 'Singleplayer', 'Choices Matter', 'Nudity', 'Cinematic', 'Detective', 'Action', 'Horror', 'Supernatural', 'Classic', 'Mature', 'Great Soundtrack', 'Noir', 'Remake', 'Female Protagonist', 'RPG']","['Adventure', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
39690,21.49,"['RPG', 'Open World', 'Singleplayer', 'Fantasy', 'Third Person', 'Adventure', 'Action RPG', 'Action', 'Gothic', 'Medieval', 'Magic', 'Hack and Slash', 'Casual', 'Great Soundtrack', 'Story Rich', 'Atmospheric']",['RPG'],"['Single-player', 'Family Sharing']"
818320,38.4,"['Action', 'LEGO', 'Adventure', 'Co-op', 'Open World', 'Superhero', 'Family Friendly', 'Multiplayer', 'Singleplayer', 'Local Co-Op', 'Controller', 'Memes', 'Local Multiplayer', 'Funny', 'Great Soundtrack', 'Comedy', 'Casual']","['Action', 'Adventure']","['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']"
314830,,"['RPG', 'Strategy', 'Adventure', 'Indie', 'Turn-Based', 'Fantasy', 'Turn-Based Combat', 'Turn-Based Strategy', 'Singleplayer', 'Tactical', 'Female Protagonist', 'Tactical RPG', 'Dark Fantasy', 'Hex Grid', 'Turn-Based Tactics', 'CRPG', 'Isometric', 'Choices Matter', 'Villain Protagonist', 'Strategy RPG']","['Adventure', 'Indie', 'RPG', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
241910,8.22,"['Adventure', 'Point & Click', 'Comedy', 'Singleplayer', 'Indie', 'Puzzle', 'Funny', 'Story Rich', 'Escape Room', 'Hand-drawn', 'Classic', '2D', 'Steampunk', 'Cult Classic', 'Great Soundtrack', 'Retro', ""1990's"", 'Sexual Content', 'Nudity']","['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']"
1161170,8.89,"['Adventure', 'Mystery', 'Pixel Graphics', 'Puzzle', 'Drama', 'Singleplayer', 'Detective', '2D', 'Atmospheric', 'Point & Click', 'Story Rich', 'Indie', 'Comedy', 'Horror', 'Thriller', 'Supernatural', 'Mythology', 'Historical', 'Stylized', 'Lore-Rich']","['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
224960,5.93,"['Adventure', 'Action', 'Classic', 'Female Protagonist', 'Singleplayer', 'Puzzle', 'Platformer', 'Third Person', 'Retro', ""1990's"", 'Action-Adventure', 'Old School', 'Third-Person Shooter', '3D Platformer', 'Exploration', 'Shooter', 'Atmospheric', 'Dinosaurs', 'Puzzle Platformer', 'Great Soundtrack']","['Action', 'Adventure']","['Single-player', 'Family Sharing']"
1013140,36.81,"['Action', 'Open World', 'Third-Person Shooter', 'Action-Adventure', 'Dynamic Narration', 'Third Person', '3D', 'Singleplayer', ""1990's"", 'Aliens', 'Atmospheric', 'Sci-fi', 'Combat', 'Multiplayer']",['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
525920,12.36,"['Sports', 'Simulation', 'Cycling', 'Management', 'Multiplayer']","['Simulation', 'Sports']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Family Sharing']"
297860,8.62,"['Racing', 'Action', 'Destruction', 'Split Screen', 'Multiplayer', 'Arcade', 'Singleplayer', 'Local Multiplayer', 'Local Co-Op', 'Great Soundtrack', 'Driving', 'Fast-Paced', 'Difficult']","['Action', 'Racing']","['Single-player', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']"
1502990,32.15,"['RPG', 'JRPG', 'Female Protagonist', 'Anime', 'Cute', 'Fantasy', 'Adventure', 'Singleplayer', 'Turn-Based', 'Colorful', 'Turn-Based Combat', 'Simulation', 'Story Rich', 'Great Soundtrack', 'Exploration', 'Lore-Rich', 'Casual', 'Collectathon', 'Emotional', 'Crafting']",['RPG'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
1963210,8.44,"['Action', 'RPG', 'Female Protagonist', 'Singleplayer', 'Action RPG', 'Hack and Slash', 'JRPG', 'Fantasy', 'Atmospheric', 'Dark Fantasy', 'Dark', 'Mythology', 'Medieval', 'Violent', 'Multiple Endings', 'Story Rich', 'Anime', 'Soundtrack', 'Nudity', 'Sexual Content']","['Action', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
1420290,14.64,"['Action', 'Comedy', 'Hack and Slash', 'Assassin', ""Beat 'em up"", 'Blood', 'Violent', 'Gore', 'Singleplayer', 'Cats', 'Motorbike', 'Combat', '3D', 'Third Person', 'Cult Classic', 'Great Soundtrack', 'Anime', 'Character Action Game', 'Sexual Content', 'Open World']",['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
