steamId,publisher
248390,Black Maple Games
738520,HypeTrain Digital
738520,RedRuins Softworks
1361000,Ravenhood Games
875210,"USERJOY Technology Co.,Ltd."
2427700,PlayWithFurcifer
2427700,IndieArk
304650,Failbetter Games
647830,Warner Bros. Interactive
647830,Feral Interactive (Mac)
553640,XD
481510,Finji
605740,Excalibur Games
1169040,Fair Games ApS
793460,Games Operators
1229240,Deck13
1229240,WhisperGames
558990,Zachtronics
436320,Survios
1492070,Wales Interactive
2334730,Realm Archive
1966900,Erabit
1966900,flanne
571260,SNK CORPORATION
2230110,Phoenix Labs
1619750,Remtairy
332800,Scott Cawthon
333600,Sekai Project
541210,Killerfish Games
1388880,Serenity Forge
115800,D-Pad Studio
954740,Reef Entertainment
970830,Dear Villagers
970830,E-Home Entertainment
1563180,Cheesecake Dev
588030,Altfuture
1574580,Iceberg Interactive
1128860,Fulqrum Publishing
248610,KillHouse Games
371970,Turning Wheel LLC
418340,Rooster Teeth Games
1543030,CubeGame
1543030,"Softstar Technology (Beijing) Co., Ltd"
245470,Positech Games
215530,NeocoreGames
2162800,tobspr Games
2162800,Gamera Games
1001270,Biotech Gameworks
362490,Bare Mettle Entertainment
616560,Brilliant Game Studios
341940,Destructive Creations
207170,Almost Human Games
420530,KOMODO
269210,Panic Art Studios Ltd
224480,Young Horses
365960,Studio 397
1957780,Beyond Frames
20510,GSC World Publishing
1414850,GameMill Entertainment
671510,HypeTrain Digital
1656780,Goblinz Publishing
1656780,Maple Whispering Limited
813630,Supra Games
2849080,Ironhide Game Studio
1127400,AnukenDev
282900,"Idea Factory International, Inc."
282900,"IDEA FACTORY Co., Ltd."
848480,Knuckle Cracker
926990,eduweb
2140020,FireFly Studios
2142790,NPC Studio
252530,Aerosoft GmbH
2280,Bethesda
1061090,Nexile
1166860,PikPok
1388770,Consumer Softproducts
1525700,Untitled Studio
1525700,WhisperGames
1240210,Draw Me A Pixel
526160,HypeTrain Digital
324160,Sekai Project
1342330,Eggcode
1424330,Secret Mode
1281590,BANDAI NAMCO Entertainment Europe
2239150,GrizzlyGames
858210,Pixeljam
94400,Messhof
677120,Crackshell
502520,Game-Labs
1188930,Al Fine
1432050,DrinkBox Studios
1843760,Die of Death Games
1250650,ILLUSION
523660,Digital Cybercherries
1177980,Double Dagger Studio
820520,Tripwire Presents
963930,Caveman Studio
846770,10tons Ltd
1382070,Thunderful Publishing
1963370,Cat Play Studio
1674170,Hamish Dunn
991780,（Hong Kong）GKD Game Studio
914620,Dimension 32 Entertainment
1588530,Briganti
1641960,Far From Home
214770,DrinkBox Studios
1170950,Star Vault AB
3097560,Curve Animation
2069310,"Horizon Hobby, LLC"
334230,Digital Bandidos
999220,Frictional Games
1266840,Armor Games Studios
491540,AeroSoft GmbH
803600,"NIS America, Inc."
750130,Frogwares
913740,Ysbryd Games
913740,PLAYISM
70400,Carpe Fulgur LLC
656350,Thorium
368360,Robot Gentleman
1038250,Codemasters
1038250,Electronic Arts
360830,Playtonic Friends
2014780,Laminar Research
1039880,Deep Type Games
1115690,No More Robots
2780980,Mirage Creative Lab
209080,Muse Games
1051200,"Squanch Games, Inc."
1069640,Game-Labs
290300,Double Damage Games
232430,Fullbright
1059990,Holy Wow Studios LLC
233610,Refract
2399420,Studio 397
707030,Running With Scissors
698670,Kepler Interactive
2218750,Chasing Carrots
2155180,Envision Entertainment
397340,"Jundroo, LLC"
1162750,Gamatron AB
3156770,The Astronauts
252610,Rocketcat Games
773951,KK Game Studio
1157390,NeocoreGames
2593370,零创游戏(ZerocreationGame)
2593370,2P Games
362620,Coredumping
418030,ColdGames
602520,Sekai Project
1426450,PlaySide
1000360,Kubold
262280,Kalypso Media Digital
1607130,Inceton games
517710,34BigThings srl
206190,Suspicious Developments
269770,Pixel Ferrets
1584090,二色幽紫蝶
1584090,Re零同人社
851100,WSS playground
851100,PLAYISM
759740,Milestone S.r.l.
1032430,Electrovore
1585220,Half Asleep
518150,Superboss Games
40700,Amanita Design
319910,Frozenbyte
268650,Brilliant Skies Ltd.
1898300,Thunderful Publishing
224760,Trapdoor
901735,FireFly Studios
221260,Tomorrow Corporation
1088790,Ndemic Creations
2835570,CRITICAL REFLEX
12360,Strategy First
669330,Paradox Arc
496460,Bitbox Ltd.
2870,Egosoft
251730,Almost Human Games
1239320,Games Incubator
1239320,PlayWay S.A.
1677770,Playstack
271240,Stardock Entertainment
1477590,"Neonovice Co., Ltd."
1520370,Santa Goat
356650,Serenity Forge
388090,Scott Cawthon
1732180,Mango Party
1732180,PantyParrot
1732180,Mango Party News
2287520,ScottGames
1239020,AURORA Games
333640,Kitfox Games
2273420,Mango Party
2273420,Mango Party News
1101190,Chromatic Games
753650,Giant Enemy Crab
2198150,Pounce Light
1651560,Dear Villagers
1651560,Doyoyo Games
2285150,Samar Studio
632350,Idea Factory International
218640,Shiver Games
341800,Steel Crate Games
1135230,Twin Sails Interactive
200170,Team17 Digital Ltd
620590,Destructive Creations
1189630,香港商河洛互動娛樂股份有限公司
1545560,Mimimi Games
633460,Blackmill Games
1434950,MicroProse Software
488860,"GIBBING TREE, LLC"
232790,Double Fine Productions
225260,Double Fine Productions
978520,Goblinz Publishing
268130,Suspicious Developments
487120,Blue Isle Publishing
2638370,Mega Cat Studios
1137300,Frogwares
22600,Team17 Digital Ltd
236370,Zero Point Software
405900,"NIS America, Inc."
1766740,Two Star Games
1562420,Dreambyte Games
666150,Crytivo
246420,Ironhide Game Studio
486860,VectorStorm Pty Ltd
1283410,United Label
1283410,CI Games
1062810,Shiny Shoe
816340,Ironhide Game Studio
553540,Brace Yourself Games
942970,NEXT Studios
942970,505 Games
2109370,Frontier Foundry
2458860,Mango Party
2458860,Mango Party News
1368820,Atari
1368820,Aspyr (Mac)
268870,5 Lives Studios
578330,TT Games
2478970,Aspyr
743450,Xelu
743450,Those Awesome Guys
714120,Killmonday Games AB
1515210,Rusty Lake
1410710,Positech Games
2111630,East Japan Railway Company
420110,Sekai Project
678900,Toplitz Productions
1434480,HIKARI FIELD
286000,Pocketwatch Games
446020,Excalibur Games
323220,Nuke Nine
241260,Frogwares
673130,New Blood Interactive
1404850,TrampolineTales
293780,Powerhoof
792300,Illusion Ray
1110910,Playstack
1708850,Movie Games S.A.
423580,Kasedo Games
316790,Double Fine Productions
753420,TEAM HORAY
751630,Vertigo Games
1944430,Frictional Games
235800,Dylan Fitterer
574720,HandyGames
579180,"NIS America, Inc."
1520500,MIGI STUDIO
1294760,GexagonVR
1958220,KIWIWALKS
1881420,Bushiroad Inc.
735280,Sixteen Tons Entertainment
860890,Erik Asmussen
644560,Paradise Project
1296770,Zodiacus Games
362680,Killmonday Games AB
1705180,Radian Simulations LLC
2378900,Kit9 Studio
1114150,"CarX Technologies, LLC"
1088090,Beawesome Games
258520,The Astronauts
1245560,Soda Den
985830,Playway S.A.
2212330,Ivy Sly
673610,Apog Labs
345180,Haemimont Games
345180,EuroVideo Medien
846470,Polyarc
1606180,白玉京工作室
1265860,Motorsport Games
563840,Mooneye Studios
1230140,ANIPLEX.EXE
562860,3D Realms
400910,CreSpirit
404590,Kalypso Media Digital
1981570,Iceberg Interactive
1455630,Marmalade Game Studio Ltd
2132850,mino_dev
318020,Eugen Systems
365450,Fellow Traveller
332200,Thomas Happ Games LLC
1465070,Urban Wolf Games Inc.
539470,HypeTrain Digital
1349230,Conor Petersen
1349230,"Thunkspace, LLC"
2340650,心火游戏
1567020,Bandai Namco Entertainment Europe
1330000,Burst2Flame Entertainment
7520,"Topware Interactive, ACE"
233980,Unepic Games
222730,Abbey Games
261180,Team Reptile
2445690,Hunter Studio
70000,800 North and Digital Ranch
1457320,Fire Hose Games
1134100,Untold Tales
1134100,Hyperstrange
1134100,Gamersky Games
895620,Sneaky Yak Studio
895620,WhisperGames
1559390,甲山林娛樂股份有限公司
654880,Game Grumps
354140,Scott Cawthon
252110,Asteroid Base
2200,id Software
603850,Łukasz Jakowski Games
369990,The Merchant Guild of Rund (Limited)
1594940,SUNNY SIDE UP
449960,Thing Trunk
518030,ProGames Studio
2739590,EmadePlus
1199030,Awaken Realms
553310,Team Reptile
307880,Last Bastion Studios LLC
1045520,Dr PinkCake
332500,"BitMonster, Inc."
1138850,2pt Interactive
314660,"Oddworld Inhabitants, Inc."
597220,Asymmetric
1218210,indie.io
475550,Alawar
366220,Plug In Digital
303210,Everything Unlimited Ltd.
1622910,Secret Mode
552620,AtomTeam
657200,HFM Games
907650,FireFly Studios
528230,Flow Fire Games
528230,WhisperGames
1358140,Big Cheese Studio
1358140,PlayWay S.A.
2653790,KOTAKE CREATE
274500,Stellar Jockeys
1002300,Happy Paintings
1571340,VR HOT
1614550,Terad Games
460120,Idea Factory International
507490,Stardock Entertainment
1109570,Team9
1109570,indienova
1109570,Path
356400,Drool
440650,Stray Fawn Publishing
440650,WhisperGames
2695940,ZTEK Studio
1646850,Burak Dabak
1832640,NIJICO
1701520,Maximum Entertainment
858260,Schell Games
598980,Kwalee
1280780,Killerfish Games
1318690,tobspr Games
1318690,Doyoyo Games
1684170,ViNovella Games
2074800,SOFTSTAR ENTERTAINMENT
1261040,Cheesecake Dev
1201540,Skystone Games
1201540,Surefire.Games
1457080,Riot Forge
606800,Hovgaard Games
609320,Assemble Entertainment
335670,Serenity Forge
1937500,Pathea Games
1937500,"PM Studios, inc."
223830,Goldhawk Interactive
2933130,North Beach Games
231160,Facepalm Games
1150760,New Blood Interactive
1489630,MicroProse Software
239200,Frictional Games
1293160,Bloober Team SA
1293160,NA PUBLISHING INC.
1357210,Stardock Entertainment
1028630,Big Ant Studios
1746030,OMEGAMES STUDIO
1746030,NPC Entertainment
1360980,ViNovella Games
683900,Atari
321360,Circle Five Publishing
1136370,Armor Games Studios
419480,Little Green Men Games
2553870,NLT Media
582550,Flamebait Games
582550,Gamera Games
388880,Night School Studio
1345820,WanadevStudio
2786680,蒸汽满满工作室
1337760,PQube
1995520,Mainframe Industries
1995520,New Tales
1578650,Fellow Traveller
800270,Twin Sails Interactive
261760,Xaviant Games
2103140,bilibili
1686940,Zapray Games
49600,Cold Beam Games
1044620,NekoNyan Ltd.
1044620,HIKARI FIELD
360940,Virtual Basement LLC
550320,Funselektor Labs Inc.
674140,Young Horses
1124180,Bitrich.info
555220,RedCandleGames
555220,AGM PLAYISM
787810,Team17 Digital
1244800,Goblinz Publishing
1244800,IndieArk
686200,KillHouse Games
268750,SmashGames
326410,Tasharen Entertainment Inc.
1623940,Merge Games
2654470,qureate
356040,Team17 Digital Ltd
506610,Scott Cawthon
1330460,Mana Potion Studios
524580,Idea Factory International
1227690,Greylock Studio
1846920,Bear in the Night
1046030,Coatsink
1335830,Flow Studio
1249800,SOFTSTAR
1249800,Yooreka Studio
599080,Question
231200,Cardboard Computer
202750,Remedy Entertainment
1618540,StudioGoupil
1766060,indie.io
1504570,Ac Games
228260,Stardock Entertainment
671440,Kasedo Games
1406990,Sekai Project
983970,The Game Bakers
1444480,LevelHead
248860,Blue Bottle Games
1158940,Iceberg Interactive
1136160,Cheesecake Dev
1161490,Milestone S.r.l.
1540210,Vertigo Games
1049890,Pupuya Games
1049890,SimonCreative
1049890,Justdan
758870,PixelCount Studios
1035120,Movie Games S.A.
375480,Subworld
1372810,Team Samoyed
454120,Frozenbyte
1264250,Misc Games
691260,"BigBox VR, Inc."
490920,SUBSIM
699170,Fulqrum Publishing
91700,Streum On Studio
914800,Toge Productions
1112790,DOG HOGGLER
991270,"NIS America, Inc."
1179080,New Blood Interactive
1547890,No More Robots
2820,Egosoft
251470,Maddy Makes Games Inc.
1556100,IllFonic Publishing
1138660,HypeTrain Digital
458710,Ironhide Game Studio
1924480,Undergrad Steve
719890,"Sastrei Studios, LLC"
910490,Novarama
1466060,Awaken Realms
2109460,YooGame
230270,Metanet Software Inc.
242880,Big Robot Ltd
584980,Wales Interactive
468920,Ultimate Games S.A.
956680,Sekai Project
318600,The Molasses Flood
318600,Curve Games
306760,Cyan Inc.
2458530,HIKARI FIELD
237850,Red Thread Games
1421250,Saikono
742300,"CAPCOM CO., LTD."
269190,Dear Villagers
269190,Maple Whispering Limited
1186640,Headup
1186640,Beep Japan
1220010,Spiral Up Games
1416920,Wise Games
1018830,Element Studios
307110,Deli Interactive LLC
1755830,Akupara Games
574980,Maximum Entertainment
357310,Iceberg Interactive
1280930,Hibernian Workshop
1280930,MP2 Games
1280930,Maple Whispering Limited
1556200,IllFonic Publishing
1216710,Aluba Studio
272270,inXile Entertainment
1650010,Milestone S.r.l.
648100,KEMCO
894940,SmashGames
1272160,101XP
470310,Dandylion
785770,Aerosoft GmbH
1198090,"NIS America, Inc."
758190,Meta Interaction
252410,Image & Form Games
3480,"PopCap Games, Inc."
3480,Electronic Arts
1148150,Faerin Games
222750,Eugen Systems
1801110,Kodansha
328080,SixtyGig Games
2171440,Miro Haverinen
623280,Wizards of the Coast
580200,Prideful Sloth
965580,Dire Wolf
1182110,Weed Games
1063660,Joey Drew Studios
250260,Necrophone Games
499520,BULKHEAD
991170,Duality Games
991170,PlayWay S.A.
991170,HeartBeat Games
1043260,GrabTheGames
1043260,Gamera Games
1043260,UpgradePoint
1207650,Torpor Games
1207650,Fellow Traveller
396900,Wired Productions
874260,Dear Villagers
1785650,2K Games
321800,Beamdog
1324780,Corvostudio di Amadei Marco
1049320,WayForward
1049320,Arc System Works
1148650,Edmund McMillen
344850,Positech Games
1696440,bilibili
1380910,Paradox Arc
1229380,Foreign Gnomes
1229380,Surefire.Games
471550,Frozenbyte
324080,JIW-Games
2291680,Mango Party
2291680,Mango Party News
675260,Telltale
250520,Stygian Software
1748620,Critical Bliss
1939160,Asymmetric
337340,Freebird Games
367450,Dry Cactus
936720,Missing Digit
2052410,Aniplex Inc.
1097580,S-court
406350,Motorsport Games
1471410,Flow Fire Games
1085510,Microids
1108370,Cassel Games
1083880,Critical Bliss
1159290,HOOK
1260820,Anduo Games
1260820,Lewdonymous
1082710,DANGEN Entertainment
281640,Stoic Studio
332570,Fayju
252330,Blue Isle Publishing
595690,Jason Rohrer
2429860,Kagura Games
418650,I-Illusions
1677110,Amplifier Studios
1677110,FRAME BREAK
329130,Indie Voyage
1860510,Thunder Devs.
252470,MinMax Games Ltd.
378720,MuHa Games
361280,Gamious
1195290,XD
981430,Mixed Realms Pte Ltd
981430,Coconut Island Games
375820,Tomorrow Corporation
263760,Secret Exit Ltd.
1988550,SomethingExtra
519190,Last Level
6860,Io-Interactive A/S
2698780,FiftyEight Studios
342560,David Stark
400170,NeocoreGames
952860,香港商河洛互動娛樂股份有限公司
952860,方块游戏
1205450,Graffiti Games
1255560,Cyan Worlds Inc
667610,Uncasual Games
2111170,Marvelous
2111170,Marvelous Europe
2111170,XSEED Games
2059170,HypeTrain Digital
1227650,Untold Tales
1227650,CouchPlay Interactive
358130,Maschinen-Mensch
98200,Mode 7
1360000,DigX Studios
1043810,Suspicious Developments
844590,No More Robots
1369670,P3 Games
491530,Aerosoft GmbH
677160,Total Mayhem Games
2683150,GrabTheGames
2683150,UpgradePoint
388750,"H2 Interactive Co., Ltd."
1511460,Dionic Software
1092660,Bloober Team NA
1493760,🚀 Raiser Games
2116120,Games Of Tomorrow GmbH
300570,Zachtronics
598960,Jan Zelený
1104380,Fireproof Games
239070,Crackshell
591370,Positech Games
377530,Phoenix Game
591460,Washbear Studio
216890,Cyanide Studios
1465470,Crytivo
2166060,DreadXP
1390350,Sbug Games
2366980,Panic
1359980,Running With Scissors
1359980,Hyperstrange
95400,Sparpweed
1484280,Resolution Games
308420,Milkstone Studios
1330470,bilibili
494430,No Matter Studios
641780,The Drone Racing League
464340,Microids
296970,Abbey Games
329070,Chris Hecker
285310,Atari
953880,Versus Evil
1069650,Game-Labs
722060,Illwinter Game Design
2187290,Alawar
715560,Eastshade Studios
2862610,Mountain&Sea Studio
233840,Team17 Digital Ltd
1158370,Lince Works
615120,notdead
792100,Tomorrow Corporation
1850160,Dry Cactus
239840,DoubleBear Productions
218820,Tribute Games Inc.
264140,Vitali Kirpu
435400,Adriaan de Jongh
1028310,Weather Factory
1967630,Twin Sails Interactive
1967630,CE-Asia
679900,Armor Games Studios
