name,averageRevenue,medianRevenue,totalRevenue,publishedGames
SEMISOFT,250965,250965,250965,1
Dan Walters,250968,250968,250968,1
CHUMBOSOFT LLC,250221,250221,250221,1
Thunderful Publishing,949449.4444444445,533395,17090090,18
Early Melon,250750,250750,250750,1
Yacht Club Games,1335941.875,249602,10687535,8
Zachtronics,781707.4348329757,242374.5,12507318.957327612,16
Tasty Stewdios LLC,261708,261708,261708,1
Deimos Interactive,249401,249401,249401,1
101XP,192665.43443145222,24238,3275312.385334688,17
DNVR Prod,249132,249132,249132,1
Unbound Creations,103509.14416389393,60965.5,828073.1533111514,8
Toffee Cafe,251217.85714285713,205610,1758525,7
KHB-Soft,58588,2811,292940,5
Simon Fredholm,124672.5,124672.5,249345,2
eGames.com,256031.875,44883.5,2048255,8
Creative Storm Entertainment,150395.75,173828,601583,4
Khor Chin Heong,194831.5,194831.5,389663,2
G-MODE,9681.489361702128,588,455030,47
BATOVI Games,64434.5,3382,257738,4
Ripstone,187891.42857142858,112587.5,2630480,14
Big Fan Games,243493,248724,730479,3
Fantasize Games,249630,249630,249630,1
Tora Creatives,108224.75,80168.5,432899,4
Lewdonymous,682871.4,249630,3414357,5
YSH Games,248790,248790,248790,1
Dreamlab XR,248131,248131,248131,1
KING Art,246746,246746,246746,1
VikingVRStudio,130700,130700,261400,2
Big Play Games,172231,172231,344462,2
Huw Millward,247701,247701,247701,1
"ThoughtSTEM, LLC",248420,248420,248420,1
Zeboyd Digital Entertainment LLC,192467,133984,962335,5
惊叹号游戏工作室,245244,245244,245244,1
Conifer Games,245663,245663,245663,1
XP Liu,242634,242634,242634,1
STUDIOARTDINK,245140,245140,245140,1
KOMODO,141335.03883495147,18796,14557509,103
Deep Root Interactive,92233.125,22550,737865,8
"Massive Damage, Inc.",540372,244927,1621116,3
Seafront Games,248670,248670,248670,1
THE BROTHERHOOD,354279.7194490813,362498,1417118.8777963251,4
Quiet River,107351.96428571429,70116,3005855,28
Mystic Box,244093,244093,244093,1
KX games,243298,243298,243298,1
Deer Dream Studios,89952.16878093455,25982,269856.50634280365,3
CursedAtelier,243011,243011,243011,1
Frontwing USA,155229,44320,5743473,37
Kepler Interactive,3080349.8,1353548,30803498,10
Atomic Jelly,137511.66666666666,26531,825070,6
OhNoo Studio,341602.5,341602.5,683205,2
Muse Games,856541.2,42122,4282706,5
"TALESSHOP Co., Ltd.",97582.64285714286,36720.5,1366157,14
Stardock Entertainment,2391983.736842105,550428,45447691,19
State of Play,141596.66666666666,109253,424790,3
Days of Wonder,337646.5,337646.5,675293,2
Puppygames,213797.5,219947.5,1710380,8
Dmytry Lavrov,160553,160553,321106,2
DreamStep,150572,150572,301144,2
绝汪,91210.66666666667,16315,273632,3
A List Games,120507,120507,241014,2
Playrise Digital Ltd.,242080,242080,242080,1
Bit Dragon,240864,240864,240864,1
sparsevector,240762,240762,240762,1
Gavra Games,241346,241346,241346,1
Ritual Entertainment,241198,241198,241198,1
PeatyTurf,249738,249738,249738,1
Unusualsoft,55165.8,8457,275829,5
Hemisphere Games,240592,240592,240592,1
"SUNFISH Co., Ltd.",658612,658612,1317224,2
Backhole,122046.66666666667,69727,366140,3
DSGame,440388.8145389427,194751,10128942.734395683,23
Agafonoff,134014.2857142857,103070,938100,7
IllFonic Publishing,1293490.75,1314023.5,5173963,4
Studio Saizensen,239324,239324,239324,1
DiezelPower,681730,681730,1363460,2
Frozen Way,404783.5714285714,145887,2833485,7
GATO STUDIO,83709.5,39851,334838,4
Moonana,129740,129740,259480,2
Polyslash,79161.66666666667,320,237485,3
HeartBeat Games,1116458.2222222222,52387,20096248,18
Rebound CG,213074.5,190946,852298,4
Kagura Games (Chinese Version),238737,238737,238737,1
Laundry Bear Games,239414,239414,239414,1
Dark Energy Digital Ltd.,237852,237852,237852,1
5 Lives Studios,1755194.5,1755194.5,3510389,2
Retroism,54874.625,18073,438997,8
Enlight Software Limited,76727.55555555556,23220,690548,9
Nostalgames,119380.25,107556,477521,4
Blyts,56913,18253,284565,5
Creepy Brothers,81146.25,44540.5,649170,8
Skystone Games,438243.6,77326.5,4382436,10
Dharker Studios,30197.56140350877,4223,1721261,57
Henchman & Goon,116343.5,116343.5,232687,2
Pyrodactyl,102966,67737,308898,3
"PM Studios, inc.",387897.375,42990,3103179,8
CE-Asia,490844.8333333333,225604,2945069,6
CLLGames,241039,241039,241039,1
IPACS,1003554.6666666666,1053917,3010664,3
Lost in Days Studio,237320,237320,237320,1
YCJY Games,299764.3333333333,236169,899293,3
GCORES PUBLISHING,80601.66666666667,0,241805,3
Studio Bean,73795.4,35405,368977,5
ZiX Solutions,119103,119103,238206,2
MAD Virtual Reality Studio,236261,236261,236261,1
COWCAT,99162,62314,297486,3
L7team,658979.3333333334,559280,1976938,3
Giant Global,234932,234932,234932,1
Slouching Beast LLC,240945,240945,240945,1
Mason Lindroth,442672.5,442672.5,885345,2
Trese Brothers,312862,183906,1564310,5
Quadfix Games,222231,234134,666693,3
All Parts Connected,238462,238462,238462,1
Lil Hentai Games,57648.77777777778,36375,518839,9
SmashHammer Games,236798,236798,236798,1
DLsite,53993.96296296296,5392,1457837,27
PQube,195468.61764705883,41907,13291866,68
HeR Interactive,47019.21212121212,32333,1551634,33
CyberConnect2,543237.5,543237.5,1086475,2
OVALIS INVESTMENTS LIMITED,116522.5,116522.5,233045,2
Fireblade Software,573889,573889,1147778,2
Toxic Games,127834.5,127834.5,255669,2
CS Game,231078,231078,231078,1
Dragonis Games,153233.5,153233.5,306467,2
ANIPLEX.EXE,1135112.3333333333,232215,3405337,3
Ludic Studios,120249.5,120249.5,240499,2
Crunching Koalas,52185.57142857143,16795,365299,7
Transhuman Design,62314.4,12109,311572,5
DreadXP,648179.5,68650.5,12963590,20
Mountain Sheep,232142,232142,232142,1
KADOKAWA CORPORATION,279560.75,153610,1118243,4
Fayju,1158380,1158380,2316760,2
Blobfish,3144888.25,124471,12579553,4
Team Lv.266,231927,231927,231927,1
Data Realms,120890,120890,241780,2
Henteko Doujin,26335.41176470588,13122.5,895404,34
Sanuk Inc.,79265.75,40505.5,317063,4
Game Trust,231355,231355,231355,1
Hugecalf Studios,229065,229065,229065,1
Departure Interactive,273625.6666666667,230886,820877,3
Wolfey Studios,230476,230476,230476,1
mino_dev,1588782,1588782,3177564,2
L.INC,229863,229863,229863,1
Pontypants,749818,749818,1499636,2
CreativeForge Games,88765.89285714286,1641,2485445,28
Aksys Games,124054.70588235294,44788,2108930,17
Assemble Entertainment,307472.0689655172,34502,17833380,58
Application Systems Heidelberg,188631.9375,56725.5,3018111,16
LIGHTS ARE OFF LLC,224637,224637,224637,1
Pixeljam,317392.8,15887,4760892,15
Polybay Digital Entertainment,229731,229731,229731,1
SIGONO INC.,547424.25,207923,2189697,4
Senpai Studios,75663.95,30128.5,1513279,20
Blood Music,229925,229925,229925,1
Armor Games Studios,379424.771510546,66573,15176990.86042184,40
Reborn Entertainment,156166,156847.5,624664,4
White Paper Games,157651,157651,315302,2
Fellow Traveller,607299.3913043478,376454,13967886,23
lamedeveloper,660230,660230,660230,1
Telltale,2090756.4,416229,20907564,10
SA Industry,20559.838983050846,3724.5,2426061,118
torcado,229702,229702,229702,1
Outerdawn,228141,228141,228141,1
