steamId,sales,timeStamp,releaseDate,days_since_release
1225570,8899.0,2020-07-01 20:00:00,2020-06-04,27
1225580,981.0,2020-07-01 20:00:00,2020-06-04,27
1225590,2023.0,2020-07-01 20:00:00,2020-06-04,27
1233570,68428.0,2020-07-01 20:00:00,2020-06-04,27
1237950,101829.0,2020-07-10 09:00:00,2020-06-11,29
1237980,9166.0,2020-07-10 09:00:00,2020-06-11,29
1238000,27619.0,2020-07-10 09:00:00,2020-06-11,29
1238020,11832.0,2020-07-10 09:00:00,2020-06-11,29
1238040,15108.0,2020-07-01 20:00:00,2020-06-04,27
1238080,38541.0,2020-07-01 20:00:00,2020-06-04,27
1238810,651061.0,2020-11-02 17:00:00,2020-10-22,30
1238820,52651.0,2020-07-10 09:00:00,2020-06-11,29
1238840,83227.0,2020-07-10 09:00:00,2020-06-11,29
1238860,41840.0,2020-07-10 09:00:00,2020-06-11,29
1238880,16272.0,2020-07-10 09:00:00,2020-06-11,29
1245620,4457898.612903226,2022-03-01 21:00:00,2022-02-24,30
1262240,53565.0,2020-07-01 20:00:00,2020-06-04,27
1262540,58041.0,2020-07-01 20:00:00,2020-06-04,27
1262600,17159.0,2020-07-01 20:00:00,2020-06-04,27
1268590,61571.0,2024-04-26 23:53:15,2024-03-27,30
1281630,5848.354838709678,2020-07-01 20:00:00,2020-06-25,30
1286680,177762.61290322582,2022-07-01 20:00:00,2022-06-23,30
1294810,25539.0,2023-05-31 20:06:32,2023-05-01,30
1307710,11485.09677419355,2022-03-01 21:00:00,2022-02-24,30
1328660,30502.0,2020-12-08 10:00:00,2020-11-06,32
1364780,638095.0,2023-07-01 21:14:32,2023-06-01,30
1372110,62910.0,2022-10-01 20:00:00,2022-09-01,30
1375400,6921.0,2021-07-01 20:00:00,2021-05-31,31
1392700,1793.9333333333334,2020-11-01 20:00:00,2020-10-28,30
1404210,491692.0,2021-01-01 21:00:00,2020-12-01,31
1426210,689801.1333333333,2021-04-01 20:00:00,2021-03-25,30
1451810,9479.0,2023-06-17 20:59:27,2023-05-18,30
1466860,501780.6,2021-11-01 20:00:00,2021-10-28,30
1475810,136621.26666666666,2022-04-01 20:00:00,2022-03-24,30
1487210,6496.0,2023-07-02 21:02:39,2023-06-02,30
1492730,6108.0,2022-12-01 21:00:00,2022-11-01,30
1506830,137739.0,2021-11-01 20:00:00,2021-09-30,32
1530160,16269.0,2023-03-23 20:04:39,2023-02-21,30
1544020,201196.0,2023-01-02 21:02:44,2022-12-01,32
1546970,23294.0,2023-02-18 21:02:58,2023-01-19,30
1546990,32657.0,2023-02-18 21:02:58,2023-01-19,30
1547000,36154.0,2023-02-18 21:02:58,2023-01-19,30
1566880,13130.0,2023-11-05 00:56:34,2023-10-06,30
1599660,25065.333333333336,2022-11-01 20:00:00,2022-10-27,30
1622900,82754.0,2023-11-12 01:46:17,2023-10-13,30
1649240,57231.0,2023-03-17 20:05:57,2023-02-15,30
1665130,5486.096774193548,2022-07-01 20:00:00,2022-06-27,30
1669000,305690.0,2023-06-01 20:07:56,2023-05-02,30
1672970,66061.35483870968,2021-10-01 20:00:00,2021-09-22,30
1677350,16792.0,2023-05-06 20:04:48,2023-04-06,30
1685750,36408.6129032258,2022-07-01 20:00:00,2022-06-23,30
1693980,414706.0,2023-02-26 21:03:04,2023-01-27,30
1716740,1849515.0,2023-10-06 01:03:21,2023-09-06,30
1730700,22343.0,2023-07-01 21:14:32,2023-06-01,30
1774580,745002.0,2023-05-27 20:07:18,2023-04-27,30
1778820,486240.0,2024-02-25 05:16:40,2024-01-26,30
1798010,65031.0,2023-05-13 20:05:04,2023-04-13,30
1798020,18388.0,2023-05-13 20:05:04,2023-04-13,30
1812410,3283.677419354839,2022-05-01 20:00:00,2022-04-26,30
1812420,1501.967741935484,2022-05-01 20:00:00,2022-04-26,30
1817230,248147.0,2023-02-24 21:03:01,2023-01-25,30
1846380,255400.0,2023-01-02 21:02:44,2022-12-01,32
1849250,72931.0,2023-12-03 23:07:16,2023-11-03,30
1859470,14377.8,2022-09-01 20:00:00,2022-08-25,30
1888160,1024634.0,2023-09-23 20:41:15,2023-08-24,30
1888930,336730.0,2023-04-27 20:07:49,2023-03-28,30
1895880,163177.0,2023-08-25 20:05:39,2023-07-26,30
1928870,57406.0,2023-05-18 20:08:57,2023-04-18,30
1934680,419443.0,2024-10-05 16:30:19,2024-09-05,30
1938010,96362.0,2023-03-18 20:05:38,2023-02-16,30
1938090,6321819.5,2022-11-01 20:00:00,2022-10-27,30
1942660,38601.0,2023-04-15 20:03:49,2023-03-16,30
1967430,23024.0,2023-07-29 20:04:07,2023-06-29,30
1971870,284630.0,2023-10-20 23:55:20,2023-09-20,30
1985810,45567.0,2023-04-07 20:04:46,2023-03-08,30
1985820,13162.0,2023-04-07 20:04:46,2023-03-08,30
1996630,26665.0,2024-04-06 22:02:28,2024-03-07,30
2000950,27310.0,2023-04-07 20:04:46,2023-03-08,30
2009100,10230.0,2023-09-20 22:31:15,2023-08-21,30
2050650,1175674.0,2023-04-22 20:05:18,2023-03-23,30
2054970,1593965.0,2024-04-21 21:31:12,2024-03-22,30
2108330,137916.0,2023-07-15 20:03:53,2023-06-15,30
2140330,62216.0,2023-09-16 22:49:16,2023-08-17,30
2146170,2407.0,2024-07-16 16:50:20,2024-06-17,29
2170370,985.0,2024-07-28 20:43:56,2024-06-28,30
2183650,21300.0,2023-10-01 22:56:57,2023-09-01,30
2187220,48211.0,2024-02-24 21:58:17,2024-01-25,30
2195250,887347.0,2023-10-29 21:46:16,2023-09-29,30
2203860,3808.0,2024-04-06 01:19:35,2024-03-07,30
2204130,14137.0,2024-04-06 02:29:55,2024-03-07,30
2208920,220993.0,2023-01-05 21:02:54,2022-12-06,30
2215260,23178.0,2023-02-04 21:04:17,2023-01-05,30
2215430,791403.0,2024-06-16 21:58:46,2024-05-17,30
2221490,164914.0,2023-02-11 21:03:52,2023-01-12,30
2221920,31073.0,2023-01-14 21:12:59,2022-12-15,30
2231380,130588.0,2023-02-22 21:03:24,2023-01-23,30
2239550,58880.0,2023-02-25 21:03:11,2023-01-26,30
2315690,56695.0,2024-04-07 03:46:58,2024-03-08,30
2316580,13050.0,2024-05-24 03:37:21,2024-04-24,30
2322010,331925.0,2024-10-17 18:42:00,2024-09-20,27
2338770,126072.0,2023-10-08 23:41:39,2023-09-08,30
2356560,19089.0,2024-07-14 19:27:13,2024-06-14,30
2358720,16911506.0,2024-09-20 16:54:37,2024-08-21,30
2362420,3194.0,2023-06-14 21:03:58,2023-05-15,30
2369390,655598.0,2023-06-10 20:07:11,2023-05-11,30
2379390,54555.0,2023-07-15 20:03:54,2023-06-15,30
2383760,2618.0,2023-07-22 20:18:14,2023-06-22,30
2395210,46955.0,2023-11-03 01:36:12,2023-10-04,30
2401970,49943.0,2024-10-07 16:28:11,2024-09-07,30
2420110,331845.0,2024-04-21 22:30:10,2024-03-22,30
2440510,78685.0,2023-11-09 23:15:31,2023-10-10,30
2458830,13865.0,2024-10-11 23:11:01,2024-09-11,30
2461850,92655.0,2024-06-19 01:07:14,2024-05-21,29
2488620,121391.0,2024-07-01 21:24:17,2024-06-01,30
2510710,24778.0,2024-08-19 18:58:13,2024-07-20,30
