steamId,Action,Adventure,Casual,Early Access,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy
17390,1,1,1,0,0,0,1,0,1,0,1
17410,1,1,0,0,0,0,0,0,0,0,0
17440,0,0,0,0,0,0,0,0,1,0,0
17460,1,0,0,0,0,0,1,0,0,0,0
17470,1,1,0,0,0,0,0,0,0,0,0
17480,0,0,0,0,0,0,0,0,0,0,1
1774580,1,1,0,0,0,0,0,0,0,0,0
1778820,1,0,0,0,0,0,0,0,0,0,0
1790600,1,0,0,0,0,0,0,0,0,0,0
1798010,1,0,0,0,0,0,1,0,0,0,0
1798020,1,0,0,0,0,0,1,0,0,0,0
18040,1,0,0,0,1,0,1,0,0,0,0
18050,1,0,0,0,1,0,1,0,0,0,0
1812410,1,0,0,0,0,0,1,0,0,0,0
1812420,1,0,0,0,0,0,1,0,0,0,0
1817070,1,1,1,0,0,0,0,0,0,0,0
1817190,1,1,0,0,0,0,0,0,0,0,0
